github_url
github.com/27182812/chatglm-llama-chinese-insturct
github.com/alibabaresearch/damo-convai
github.com/andrewsonga/total-recon
github.com/antoyang/tubedetr
github.com/anything-of-anything/anything-3d
github.com/arpitbansal297/universal-guided-diffusion
github.com/ashawkey/stable-dreamfusion
github.com/avinashkranjan/amazing-python-scripts
github.com/aws-samples/aws-genai-llm-chatbot
github.com/cassiepython/cddfm3d
github.com/choosehappy/pytorchdigitalpathology
github.com/chrisociepa/allamo
github.com/cloneofsimo/paint-with-words-sd
github.com/cross-domain-compositing/cross-domain-compositing
github.com/cuiaiyu/dressing-in-order
github.com/cuongnn218/zalo_ltr_2021
github.com/cvg/hierarchical-localization
github.com/declare-lab/conv-emotion
github.com/deepset-ai/covid-qa
github.com/dpfried/incoder
github.com/dukebw/loho
github.com/facebookresearch/kilt
github.com/facebookresearch/multihop_dense_retrieval
github.com/facebookresearch/ov-seg
github.com/facebookresearch/parlai
github.com/farizrahman4u/loopgpt
github.com/fishaudio/fish-diffusion
github.com/flowersteam/grounding_llms_with_online_rl
github.com/geekyutao/inpaint-anything
github.com/gitmylo/audio-webui
github.com/haoheliu/audioldm
github.com/hazyresearch/domino
github.com/huggingface/instruction-tuned-sd
github.com/ink-usc/mhgrn
github.com/isl-org/dpt
github.com/johannakarras/dreampose
github.com/jonatasgrosman/wav2vec2-sprint
github.com/junshutang/make-it-3d
github.com/kaleido-lab/dolphin
github.com/ku-cvlab/3dfuse
github.com/lipurple/grounded-diffusion
github.com/lotayou/face-renovation
github.com/marcelampc/d3net_depth_estimation
github.com/marshuang80/gloria
github.com/mratsim/amazon-forest-computer-vision
github.com/naver/gdc
github.com/neulab/knn-transformers
github.com/norskregnesentral/skweak
github.com/nvlabs/prismer
github.com/omerbt/multidiffusion
github.com/openaudiosearch/openaudiosearch
github.com/pliang279/multibench
github.com/prabhuomkar/iris
github.com/qanastek/hugsvision
github.com/ruc-gsai/yulan-ir
github.com/sail-sg/editanything
github.com/salesforce/coderl
github.com/salesforce/unicontrol
github.com/sanster/lama-cleaner
github.com/scutlihaoyu/open-chat-video-editor
github.com/shibing624/medicalgpt
github.com/shihaozhaozsh/uni-controlnet
github.com/songhaoyu/bob
github.com/songrise/avatarcraft
github.com/ssundaram21/dreamsim
github.com/stability-ai/stablediffusion
github.com/taeu/style-your-hair
github.com/ternaus/robot-surgery-segmentation
github.com/thu-ml/controlvideo
github.com/thunlp/openbackdoor
github.com/timothybrooks/instruct-pix2pix
github.com/uminosachi/inpaint-anything
github.com/videocrafter/videocrafter
github.com/vinthony/deep-blind-watermark-removal
github.com/wxj630/visual-chatgpt-zh
github.com/wzmiaomiao/deep-learning-for-image-processing
github.com/yangheng95/pyabsa
github.com/ygtxr1997/celebbasis
github.com/ypwhs/creativechatglm
github.com/yuchenlin/swiftsage
github.com/yui010206/sevila
github.com/zhoujx4/nlp-series-sentence-embeddings
github.com/zpdesu/barbershop
